Price,Close,High,Low,Open,Volume
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F
2010-08-05,82.01000213623047,82.4800033569336,81.55999755859375,82.44000244140625,234811.0
2010-08-06,80.69999694824219,82.66999816894531,80.04000091552734,82.12000274658203,397532.0
2010-08-07,80.69999694824219,82.66999816894531,80.04000091552734,82.12000274658203,397532.0
2010-08-08,80.69999694824219,82.66999816894531,80.04000091552734,82.12000274658203,397532.0
2010-08-09,81.4800033569336,81.76000213623047,80.70999908447266,80.91000366210938,267083.0
2010-08-10,80.25,81.62000274658203,79.19999694824219,81.44000244140625,385854.0
2010-08-11,78.0199966430664,80.44000244140625,77.41999816894531,80.22000122070312,416889.0
2010-08-12,75.73999786376953,77.97000122070312,75.5199966430664,77.30999755859375,430788.0
2010-08-13,75.38999938964844,76.73999786376953,75.01000213623047,75.75,286126.0
2010-08-14,75.38999938964844,76.73999786376953,75.01000213623047,75.75,286126.0
2010-08-15,75.38999938964844,76.73999786376953,75.01000213623047,75.75,286126.0
2010-08-16,75.23999786376953,75.94999694824219,74.86000061035156,75.5999984741211,237455.0
2010-08-17,75.7699966430664,76.62999725341797,75.01000213623047,75.05999755859375,347432.0
2010-08-18,75.41999816894531,75.73999786376953,73.83000183105469,75.44999694824219,247104.0
2010-08-19,74.43000030517578,76.0999984741211,73.95999908447266,75.2699966430664,123224.0
2010-08-20,73.45999908447266,74.5999984741211,73.19000244140625,74.44999694824219,246977.0
2010-08-21,73.45999908447266,74.5999984741211,73.19000244140625,74.44999694824219,246977.0
2010-08-22,73.45999908447266,74.5999984741211,73.19000244140625,74.44999694824219,246977.0
2010-08-23,73.0999984741211,74.4800033569336,72.75,73.9000015258789,252439.0
2010-08-24,71.62999725341797,73.05000305175781,71.31999969482422,72.94999694824219,340994.0
2010-08-25,72.5199966430664,72.87000274658203,70.76000213623047,71.47000122070312,343405.0
2010-08-26,73.36000061035156,73.9800033569336,72.54000091552734,72.81999969482422,362828.0
2010-08-27,75.16999816894531,75.44999694824219,72.04000091552734,73.18000030517578,477903.0
2010-08-28,75.16999816894531,75.44999694824219,72.04000091552734,73.18000030517578,477903.0
