Price,Close,High,Low,Open,Volume
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F
2010-08-05,0.6361149370183574,0.6296508571670386,0.6439674922299883,0.6367941229608342,0.10794284843501845
2010-08-06,0.6211809975546279,0.631825955129641,0.6263341206567492,0.6330985496352732,0.20222647515712394
2010-08-07,0.6211809975546279,0.631825955129641,0.6263341206567492,0.6330985496352732,0.20222647515712394
2010-08-08,0.6211809975546279,0.631825955129641,0.6263341206567492,0.6330985496352732,0.20222647515712394
2010-08-09,0.6300729993539542,0.621408141633701,0.6341067211557665,0.6191246602445768,0.12664185594834365
2010-08-10,0.6160510734554476,0.619805401095864,0.6165892951364425,0.6252454453047791,0.19546002096337667
2010-08-11,0.5906292389148518,0.6062965256035181,0.5959396575083398,0.611156044466885,0.21344228726779063
2010-08-12,0.5646374611267917,0.5780194660044102,0.5738978766607485,0.5775493501952439,0.22149563089160407
2010-08-13,0.5606475104969404,0.5639381457444902,0.5679814671210492,0.5595334412468117,0.13767573051689383
2010-08-14,0.5606475104969404,0.5639381457444902,0.5679814671210492,0.5595334412468117,0.13767573051689383
2010-08-15,0.5606475104969404,0.5639381457444902,0.5679814671210492,0.5595334412468117,0.13767573051689383
2010-08-16,0.5589375068057469,0.5548940599422341,0.5662413102237027,0.5578011219765198,0.10947483206991038
2010-08-17,0.5649794444701501,0.5626788371300743,0.5679814671210492,0.5515648254691199,0.17319758706783317
2010-08-18,0.5609894938402991,0.5524899491354787,0.5542923685742764,0.5560688027062279,0.11506564526698754
2010-08-19,0.5497036086374625,0.5566113069021476,0.55580045734768,0.5539900372037613,0.04328722896955559
2010-08-20,0.5386456833387316,0.5394390119886302,0.5468677817531171,0.5445201250501728,0.11499205906364743
2010-08-21,0.5386456833387316,0.5394390119886302,0.5468677817531171,0.5445201250501728,0.11499205906364743
2010-08-22,0.5386456833387316,0.5394390119886302,0.5468677817531171,0.5445201250501728,0.11499205906364743
2010-08-23,0.5345417092696272,0.5380652842949464,0.541763345123049,0.5381684052049934,0.11815684522619646
2010-08-24,0.5177838296498516,0.5216943596503475,0.5251740145833839,0.5271971085660901,0.1694672880355207
2010-08-25,0.5279297413833592,0.5196336807670131,0.5186775232418837,0.5101051149764028,0.17086426706113508
2010-08-26,0.5375057098694027,0.5323411859904406,0.5393271608699863,0.5256958121901936,0.18211832082078167
2010-08-27,0.5581395166797767,0.5491699616377284,0.5335266968842023,0.5298533431951268,0.24879495349294006
2010-08-28,0.5581395166797767,0.5491699616377284,0.5335266968842023,0.5298533431951268,0.24879495349294006
2010-08-29,0.5581395166797767,0.5491699616377284,0.5335266968842023,0.5298533431951268,0.24879495349294006
2010-08-30,0.5527815457020904,0.5506582830962974,0.5582366416007425,0.5566462718327979,0.12292372471343388
2010-08-31,0.5210898135929856,0.5409273334471992,0.5276101988364466,0.5401316592602624,0.24387510740978302
2010-09-01,0.5437756944123122,0.5380652842949464,0.5292343216718216,0.5127612614960213,0.20169051265248134
2010-09-02,0.556429512988583,0.5456210486386335,0.545939686273458,0.538283916652191,0.16898868800434796
2010-09-03,0.5516415722327617,0.5490555425584605,0.5469837273070322,0.5500635290932232,0.1916625093358874
2010-09-04,0.5516415722327617,0.5490555425584605,0.5469837273070322,0.5500635290932232,0.1916625093358874
2010-09-05,0.5516415722327617,0.5490555425584605,0.5469837273070322,0.5500635290932232,0.1916625093358874
2010-09-06,0.5516415722327617,0.5490555425584605,0.5469837273070322,0.5500635290932232,0.1916625093358874
2010-09-07,0.5458275944724638,0.5397824439120512,0.5403712019035605,0.542787893889299,0.20750440213527463
